2026-02-11 22:34:11,547 - Episode 3650: Avg Value=5.1402 | Total Reward=-51
2026-02-11 22:34:11,548 - Episode 3700: Avg Value=5.1408 | Total Reward=-50
2026-02-11 22:34:11,549 - Episode 3750: Avg Value=5.1413 | Total Reward=-5
2026-02-11 22:34:11,550 - Episode 3800: Avg Value=5.1413 | Total Reward=9
2026-02-11 22:34:11,551 - Episode 3850: Avg Value=5.1413 | Total Reward=-1
2026-02-11 22:34:11,552 - Episode 3900: Avg Value=5.1423 | Total Reward=-54
2026-02-11 22:34:11,553 - Episode 3950: Avg Value=5.1432 | Total Reward=-50
2026-02-11 22:34:11,554 - Episode 4000: Avg Value=5.1432 | Total Reward=-55
2026-02-11 22:34:11,555 - Episode 4050: Avg Value=5.1432 | Total Reward=10
2026-02-11 22:34:11,556 - Episode 4100: Avg Value=5.1437 | Total Reward=-51
2026-02-11 22:34:11,557 - Episode 4150: Avg Value=5.1437 | Total Reward=-4
2026-02-11 22:34:11,558 - Episode 4200: Avg Value=5.1441 | Total Reward=-53
2026-02-11 22:34:11,559 - Episode 4250: Avg Value=5.1441 | Total Reward=-55
2026-02-11 22:34:11,560 - Episode 4300: Avg Value=5.1454 | Total Reward=-51
2026-02-11 22:34:11,561 - Episode 4350: Avg Value=5.1462 | Total Reward=2
2026-02-11 22:34:11,562 - Episode 4400: Avg Value=5.1462 | Total Reward=-53
2026-02-11 22:34:11,563 - Episode 4450: Avg Value=5.1462 | Total Reward=-65
2026-02-11 22:34:11,564 - Episode 4500: Avg Value=5.1465 | Total Reward=10
2026-02-11 22:34:11,565 - Episode 4550: Avg Value=5.1465 | Total Reward=-63
2026-02-11 22:34:11,566 - Episode 4600: Avg Value=5.1476 | Total Reward=-54
2026-02-11 22:34:11,567 - Episode 4650: Avg Value=5.1476 | Total Reward=3
2026-02-11 22:34:11,568 - Episode 4700: Avg Value=5.1476 | Total Reward=-54
2026-02-11 22:34:11,570 - Episode 4750: Avg Value=5.1483 | Total Reward=-55
2026-02-11 22:34:11,570 - Episode 4800: Avg Value=5.1483 | Total Reward=-67
2026-02-11 22:34:11,571 - Episode 4850: Avg Value=5.1483 | Total Reward=-51
2026-02-11 22:34:11,572 - Episode 4900: Avg Value=5.1483 | Total Reward=-61
2026-02-11 22:34:11,573 - Episode 4950: Avg Value=5.1487 | Total Reward=-50
